Reference, Value, Footprint, Datasheet
"U4","74LS04","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS04"
"U3","74LS30","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS30"
"U2","74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32"
"U1","8255A","Package_DIP:DIP-40_W15.24mm_Socket","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf"
"U5","27128","Package_DIP:DIP-28_W15.24mm_Socket","http://eeshop.unl.edu/pdf/27128.pdf"
"JP2","PINHD-02x20","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~"
"CN1","MSX_SLOT_CON","MSXmakers2:CARTRIDGE_#_MSX_XL",""
"D1","LED","LED_THT:LED_D3.0mm","~"
"C1","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C2","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C3","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C4","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C5","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C6","100uF","MSXmakers2:CP_tumbado","~"
"J1","Sound IN","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","~"
